51.791, -4.53678, 50.4444, -13.6053
52.3396, -4.61821, 50.9933, -13.6907
52.4568, -4.63562, 51.1106, -13.7081
53.1227, -4.73441, 51.777, -13.809
53.7886, -4.83314, 52.4437, -13.9079
54.4545, -4.93178, 53.1104, -14.0075
55.1204, -5.03036, 53.777, -14.1072
55.7863, -5.12888, 54.4438, -14.2058
56.4515, -5.22717, 55.1106, -14.3055
57.1174, -5.3255, 55.7772, -14.4053
57.7826, -5.42366, 56.4441, -14.5037
58.4486, -5.52179, 57.1108, -14.6035
59.1139, -5.61974, 57.7775, -14.7034
59.7799, -5.71771, 58.4444, -14.8015
60.4452, -5.81544, 59.1111, -14.9014
61.1112, -5.91318, 59.7777, -15.0014
61.7765, -6.01074, 60.4448, -15.0993
62.4418, -6.10814, 61.1115, -15.1993
63.1072, -6.20546, 61.7782, -15.2995
63.7733, -6.30279, 62.4447, -15.3999
64.4387, -6.39985, 63.1119, -15.4972
65.1041, -6.49682, 63.7786, -15.5976
65.7695, -6.59371, 64.4452, -15.6981
66.4349, -6.69043, 65.1124, -15.7951
67.1011, -6.78716, 65.7789, -15.8956
67.7666, -6.8837, 66.4456, -15.9963
67.9621, -6.91203, 66.642, -16.0248
68.4321, -6.98009, 67.1128, -16.093
69.0983, -7.07649, 67.7785, -16.1993
69.7638, -7.17271, 68.444, -16.3077
70.0431, -7.21302, 68.7242, -16.3481
70.4294, -7.26879, 69.1113, -16.404
70.6873, -7.30603, 69.3693, -16.4412
71.0956, -7.36489, 69.7767, -16.5123
71.7619, -7.46093, 70.4421, -16.6207
72.4282, -7.55685, 71.1093, -16.7168
72.4922, -7.56607, 71.1742, -16.7261
72.8701, -7.62045, 71.5503, -16.7928
73.0937, -7.65262, 71.7748, -16.8251
73.7608, -7.74853, 72.4403, -16.932
74.4271, -7.84427, 73.1075, -17.0279
75.0934, -7.93997, 73.7731, -17.1346
75.7604, -8.03575, 74.4385, -17.2414
76.4267, -8.1314, 75.1058, -17.3371
76.4586, -8.13597, 75.1376, -17.3417
76.6477, -8.16311, 75.3267, -17.3688
76.8367, -8.19023, 75.5141, -17.4071
77.0256, -8.21736, 75.7031, -17.4342
77.0938, -8.22714, 75.7712, -17.444
77.7608, -8.32287, 76.4359, -17.556
78.4286, -8.41872, 77.1028, -17.6517
78.7377, -8.46309, 77.4092, -17.7148
79.0956, -8.51448, 77.7671, -17.7662
79.7626, -8.61027, 78.4315, -17.8806
80.2407, -8.67894, 78.9086, -17.9491
80.1918, -10.3665, 79.0983, -17.9764
80.8616, -10.447, 79.7631, -18.0867
81.5289, -10.541, 80.4289, -18.1909
82.1964, -10.637, 81.0957, -18.2868
82.8643, -10.7311, 81.7613, -18.391
83.5321, -10.8251, 82.427, -18.4951
84.1997, -10.9213, 83.0938, -18.5913
84.8675, -11.0153, 83.7594, -18.6954
85.5354, -11.1092, 84.4251, -18.7994
86.2029, -11.2056, 85.0919, -18.8957
86.8708, -11.2995, 85.7575, -18.9997
87.5386, -11.3933, 86.4232, -19.1037
88.2061, -11.4899, 87.0899, -19.2002
88.874, -11.5837, 87.7556, -19.3041
89.5419, -11.6774, 88.4212, -19.408
90.2093, -11.7742, 89.0879, -19.5046
90.8772, -11.8679, 89.7536, -19.6085
91.5452, -11.9615, 90.4193, -19.7122
92.2126, -12.0584, 91.086, -19.8091
92.8799, -12.152, 91.7519, -19.9129
93.5479, -12.2455, 92.4175, -20.0166
94.2153, -12.3426, 93.0842, -20.1136
94.8832, -12.4362, 93.7499, -20.2172
95.5506, -12.5296, 94.4158, -20.3209
96.218, -12.6268, 95.0824, -20.418
96.8853, -12.7202, 95.7483, -20.5216
97.5533, -12.8136, 96.414, -20.6252
98.2201, -12.9108, 97.0808, -20.7224
98.8881, -13.0042, 97.7465, -20.8259
99.5555, -13.0975, 98.4124, -20.9295
99.9795, -13.1594, 98.8365, -20.9914
100.179, -13.1885, 99.036, -21.0205
100.222, -13.1948, 99.0793, -21.0268
100.379, -13.214, 99.2346, -21.0555
100.579, -13.2431, 99.4341, -21.0846
100.361, -16.9106, 99.7452, -21.13
100.848, -16.9797, 100.231, -21.2054
101.028, -17.0059, 100.411, -21.2317
101.048, -17.0088, 100.431, -21.2346
101.447, -17.0671, 100.83, -21.2928
101.695, -17.1033, 101.078, -21.329
